"","Brand","Name","Price","Kms"
"1","TVS","TVS Star City Plus Dual Tone 110cc",35000,"17654"
"2","Royal Enfield","Royal Enfield Classic 350cc",119900,"11000"
"3","Triumph","Triumph Daytona 675R",600000,"110"
"4","TVS","TVS Apache RTR 180cc",65000,"16329"
"5","Yamaha","Yamaha FZ S V 2.0 150cc-Ltd. Edition",80000,"10000"
"6","Yamaha","Yamaha FZs 150cc",53499,"25000"
"7","Honda","Honda CB Hornet 160R  ABS DLX",85000,"8200"
"8","Hero","Hero Splendor Plus Self Alloy 100cc",45000,"12645"
"9","Royal Enfield","Royal Enfield Thunderbird X 350cc",145000,"9190"
"10","Royal Enfield","Royal Enfield Classic Desert Storm 500cc",88000,"19000"
"11","Yamaha","Yamaha YZF-R15 2.0 150cc",72000,"20000"
"12","Yamaha","Yamaha FZ25 250cc",95000,"9665"
"13","Bajaj","Bajaj Pulsar NS200",78000,"9900"
"14","Bajaj","Bajaj Discover 100M",29499,"20000"
"15","Bajaj","Bajaj Discover 125M",29900,"20000"
"16","Bajaj","Bajaj Pulsar NS200 ABS",90000,"11574"
"17","Bajaj","Bajaj Pulsar RS200 ABS",120000,"23000"
"18","Suzuki","Suzuki Gixxer SF 150cc",48000,"24725"
"19","Benelli","Benelli 302R 300CC",240000,"15025"
"20","Bajaj","Bajaj Discover 125M",29900,"20000"
"21","Bajaj","Bajaj Pulsar RS200 ABS",120000,"23000"
"22","Suzuki","Suzuki Gixxer SF 150cc",48000,"24725"
"23","Hero","Hero Splendor iSmart Plus IBS 110cc",46500,"3500"
"24","Royal Enfield","Royal Enfield Classic Chrome 500cc",121700,"24520"
"25","Yamaha","Yamaha FZ V 2.0 150cc",45000,"23000"
"26","Bajaj","Bajaj Pulsar NS200",78000,"9900"
"27","Hero","Hero Super Splendor 125cc",20000,"29305"
"28","Honda","Honda CBF Stunner 125cc",20800,"30500"
"29","Bajaj","Bajaj Pulsar 150cc",50000,"19000"
"30","Honda","Honda X-Blade 160CC ABS",81200,"9100"
"31","Bajaj","Bajaj Pulsar NS200",88000,"21914"
"32","Yamaha","Yamaha YZF-R15 2.0 150cc",80000,"20000"
"33","Bajaj","Bajaj Avenger 220cc",40900,"15000"
"34","KTM","KTM RC 390cc",180000,"17700"
"35","Honda","Honda CB Unicorn 150cc",40000,"30000"
"36","KTM","KTM Duke 200cc",70000,"100000"
"37","Royal Enfield","Royal Enfield Classic 350cc",98800,"39000"
"38","Honda","Honda CBR 150R 150cc",65000,"43000"
"39","Royal Enfield","Royal Enfield Thunderbird X 500cc",190500,"4550"
"40","KTM","KTM RC 200cc ABS",179000,"3400"
"41","Royal Enfield","Royal Enfield Thunderbird 350cc",70000,"45000"
"42","Bajaj","Bajaj Avenger 220cc",45000,"36100"
"43","Royal Enfield","Royal Enfield Bullet Electra 350cc",78000,"8500"
"44","Bajaj","Bajaj Avenger Street 220 ABS",110000,"2550"
"45","Royal Enfield","Royal Enfield Classic 350cc",85000,"18000"
"46","Bajaj","Bajaj Pulsar NS200",38000,"35000"
"47","Royal Enfield","Royal Enfield Thunderbird 350cc",55346,"38000"
"48","Mahindra","Mahindra Centuro NXT 110cc",28000,"45000"
"49","Hero","Hero Hunk 150cc",37000,"10800"
"50","Suzuki","Suzuki Gixxer SF Fi 150cc SP ABS",97000,"4400"
"51","Yamaha","Yamaha FZ 150cc",40000,"357000"
"52","Royal Enfield","Royal Enfieldâ€Ž Bullet 350cc",90000,"15300"
"53","TVS","TVS Apache RTR 160cc",60000,"30000"
"54","Honda","Honda CB Shine 125cc",21900,"30000"
"55","Bajaj","Bajaj Avenger 220cc",40000,"64000"
"56","Benelli","Benelli TNT 600i ABS",475000,"11500"
"57","Honda","Honda Dream Yuga 110cc",34500,"17056"
"58","Yamaha","Yamaha SZ 150cc",25000,"172082"
"59","Suzuki","Suzuki Gixxer 150cc",30200,"45000"
"60","Bajaj","Bajaj Avenger Cruise 220",65000,"35000"
"61","Bajaj","Bajaj Pulsar 150cc",25000,"38000"
"62","Kawasaki","Kawasaki Z900",935000,"2500"
"63","Royal Enfield","Royal Enfield Bullet Electra 350cc",107100,"15438"
"64","Bajaj","Bajaj Pulsar 220cc",80000,"6000"
"65","Royal Enfield","Royal Enfield Thunderbird 350cc",88000,"19000"
"66","KTM","KTM Duke 200cc",94700,"32700"
"67","Hero","Hero CD Deluxe 100cc",12200,"46643"
"68","Royal Enfield","Royal Enfield Classic 350cc",106000,"19000"
"69","Bajaj","Bajaj Pulsar 220cc",29500,"40700"
"70","Kawasaki","Kawasaki Ninja 650cc",290000,"11350"
"71","Royal Enfield","Royal Enfield Thunderbird 350cc",110000,"1600"
"72","Bajaj","Bajaj Platina 125cc",27000,"44410"
"73","Royal Enfield","Royal Enfield Thunderbird 350cc",65000,"9800"
"74","Royal Enfield","Royal Enfield Thunderbird X 350cc",150000,"15000"
"75","Hero","Hero Karizma ZMR 223cc",55786,"68000"
"76","Bajaj","Bajaj Pulsar 180cc",45000,"17757"
"77","Yamaha","Yamaha FZ25 ABS 250cc",146000,"3900"
"78","Royal Enfield","Royal Enfield Thunderbird 350cc",115000,"23700"
"79","Bajaj","Bajaj CT 100 100cc",30000,"8250"
"80","Bajaj","Bajaj Pulsar RS200 ABS",93100,"10000"
"81","Yamaha","Yamaha YZF-R15 2.0 150cc",82000,"4300"
"82","Royal Enfield","Royal Enfield Interceptor 650cc",260000,"3800"
"83","Honda","Honda CB Shine 125cc",38000,"33000"
"84","KTM","KTM Duke 250cc",130000,"17500"
"85","Royal Enfield","Royal Enfield Himalayan 410cc",118000,"19000"
"86","Bajaj","Bajaj Pulsar 135LS",14700,"10000"
"87","Royal Enfield","Royal Enfield Thunderbird 350cc",85000,"54000"
"88","Bajaj","Bajaj Pulsar 220F",40000,"27000"
"89","Yamaha","Yamaha FZ16 150cc",50000,"19000"
"90","Royal Enfield","Royal Enfield Thunderbird 350cc",71800,"43500"
"91","Royal Enfield","Royal Enfield Thunderbird 350cc",71800,"43500"
"92","Bajaj","Bajaj Pulsar NS200",75000,"11575"
"93","Ducati","Ducati Scrambler 1100 Special",1350000,"190"
"94","Triumph","Triumph Street Triple 765",790000,"19000"
"95","Bajaj","Bajaj V15 150cc",47000,"8600"
"96","Bajaj","Bajaj Pulsar 150cc",60000,"2000"
"97","Suzuki","Suzuki Gixxer Fi 150cc ABS",96700,"5100"
"98","Hero","Hero Splendor plus 100cc",31900,"9000"
"99","Bajaj","Bajaj Pulsar 150cc",35000,"44480"
"100","KTM","KTM Duke 390cc",240000,"11000"
